Variable,x,unit
r,0.3053206141835325,mm
tn,2.3265224801105084,mm
tl,0.5999999999999948,mm
En,0.7977107622316979,GPa
EX,1.3497335263142711,GPa
ESX,0.8036244335157484,GPa
EY,5.306435802535517,GPa
ESY,1.036913248803096,GPa
