Variable,x,unit
r,0.31081449522018145,mm
tn,3.0253951018720935,mm
tl,0.47666592321766943,mm
En,0.058472394329541336,GPa
EX,0.7882321032243937,GPa
ESX,1.1143494556597955,GPa
EY,8.32809961827411,GPa
ESY,1.487332523068662,GPa
SX,51.08725417559792,MPa
SSX,72.82852127280697,MPa
SY,741.4036299639174,MPa
SSY,111.29403795999266,MPa
