Variable,x,unit
r,0.2988131775346965,mm
tn,2.2352000000000003,mm
tl,0.5731782573918646,mm
En,0.7999999999813829,GPa
EX,35.85430643922333,GPa
ESX,2.7459756768290227,GPa
EY,145.59125372701493,GPa
ESY,0.8064036928169068,GPa
SX,0.0010000000000000653,MPa
SSX,0.0010000000000000009,MPa
SY,21555.4783986421,MPa
SSY,340.6705570170167,MPa
